user_id,date,service,source_subfolder
teiesti,2023-10-12,GitHub.com,
javier-romero,2023-10-12,GitHub.com,
pobermei,2023-10-12,GitHub.com,
sthiele,2023-10-12,GitHub.com,
dependabot[bot],2023-10-12,GitHub.com,
rkaminsk,2023-10-12,GitHub.com,
MaxOstrowski,2023-10-12,GitHub.com,
wanko,2023-10-12,GitHub.com,
sthiele,2023-10-12,GitHub.com,
rkaminsk,2023-10-12,GitHub.com,
tortinator,2023-10-12,GitHub.com,
javier-romero,2023-10-12,GitHub.com,
mgebser,2023-10-12,GitHub.com,
BenKaufmann,2023-10-12,GitHub.com,
wanko,2023-10-12,GitHub.com,
cschulz-hanke,2023-10-12,GitHub.com,
qyanu,2023-10-12,GitHub.com,
sthiele,2023-10-12,GitHub.com,
bartbog,2023-10-12,GitHub.com,
MaxOstrowski,2023-10-12,GitHub.com,
BenKaufmann,2023-10-12,GitHub.com,
rkaminsk,2023-10-12,GitHub.com,
sthiele,2023-10-12,GitHub.com,
tortinator,2023-10-12,GitHub.com,
javier-romero,2023-10-12,GitHub.com,
FrancoisLaferriere,2023-10-12,GitHub.com,
teiesti,2023-10-12,GitHub.com,
sthiele,2023-10-12,GitHub.com,
MaxOstrowski,2023-10-12,GitHub.com,
rkaminsk,2023-10-12,GitHub.com,
javier-romero,2023-10-12,GitHub.com,
pluehne,2023-10-12,GitHub.com,
rkaminsk,2023-10-12,GitHub.com,
rkaminsk,2023-10-12,GitHub.com,
FrancoisLaferriere,2023-10-12,GitHub.com,
susuhahnml,2023-10-12,GitHub.com,
rkaminsk,2023-10-12,GitHub.com,
susuhahnml,2023-10-12,GitHub.com,
teiesti,2023-10-12,GitHub.com,
rkaminsk,2023-10-12,GitHub.com,
annekathleenmalchow,2023-10-12,GitHub.com,
KatrinSch,2023-10-12,GitHub.com,
damariszurell,2023-10-12,GitHub.com,
JHunter-Ayad,2023-10-12,GitHub.com,
JetteReeg,2023-10-12,GitHub.com,
damariszurell,2023-10-12,GitHub.com,
ChrKoenig,2023-10-12,GitHub.com,
JetteReeg,2023-10-12,GitHub.com,
simonrolph,2023-10-12,GitHub.com,
annekathleenmalchow,2023-10-12,GitHub.com,
damariszurell,2023-10-12,GitHub.com,
sthiele,2023-10-12,github,
hallerp,2023-10-12,github,
jakobchwastek,2023-10-12,github,
lenabolliger,2023-10-12,github,
LenaJaeger,2023-10-12,github,
prassepaul,2023-10-12,github,
sarahkiener,2023-10-12,github,
Shuwen27,2023-10-12,github,
SiQube,2023-10-12,github,
tschirner,2023-10-12,github,
KatrinSch,2023-10-12,github,
MaxOstrowski,2023-10-12,github,
pluehne,2023-10-12,github,
rkaminsk,2023-10-12,github,
sthiele,2023-10-12,github,
tortinator,2023-10-12,github,
wanko,2023-10-12,github,
laura-riedel,2023-10-12,github,
arne-cl,2023-10-12,github,
FelixDombek,2023-10-12,github,
peldszus,2023-10-12,github,
RobinSchaefer,2023-10-12,github,
TScheffler,2023-10-12,github,
Rheinwalt,2023-10-12,GitHub.com,
BodoBookhagen,2023-10-12,GitHub.com,
Rheinwalt,2023-10-12,GitHub.com,
bpurinton,2023-10-12,GitHub.com,
fclubb,2023-10-12,GitHub.com,
bpurinton,2023-10-12,GitHub.com,
BodoBookhagen,2023-10-12,GitHub.com,
kstueb,2023-10-12,GitHub.com,
bpurinton,2023-10-12,GitHub.com,
Rheinwalt,2023-10-12,GitHub.com,
franziskaboerner,2023-10-12,GitHub.com,
BodoBookhagen,2023-10-12,GitHub.com,
Rheinwalt,2023-10-12,GitHub.com,
arimue,2023-10-12,GitHub.com,
BodoBookhagen,2023-10-12,GitHub.com,
BodoBookhagen,2023-10-12,GitHub.com,
Rheinwalt,2023-10-12,GitHub.com,
BodoBookhagen,2023-10-12,GitHub.com,
hatschito,2023-10-12,GitHub.com,
tasmi,2023-10-12,GitHub.com,
dependabot[bot],2023-10-12,GitHub.com,
Rheinwalt,2023-10-12,GitHub.com,
BodoBookhagen,2023-10-12,GitHub.com,
tasmi,2023-10-12,GitHub.com,
bedartha,2023-10-12,GitHub.com,
BodoBookhagen,2023-10-12,GitHub.com,
Rheinwalt,2023-10-12,GitHub.com,
BodoBookhagen,2023-10-12,GitHub.com,
jrarrowsmith,2023-10-12,GitHub.com,
BodoBookhagen,2023-10-12,GitHub.com,
tasmi,2023-10-12,GitHub.com,
Rheinwalt,2023-10-12,GitHub.com,
Rheinwalt,2023-10-12,GitHub.com,
